fontName,characterSetSupported,fontOwner,refLink
Consolas 10,,Microsoft,https://docs.microsoft.com/en-us/typography/font-list/consolas
Tahoma 8,,Microsoft,https://docs.microsoft.com/en-us/typography/font-list/tahoma
