character,characterSymbol,characterName,escapeSequence,controlEscapeSequence,characterUse,impactedByCaseInsensitiveOrder,characterForCaseInsensitiveOrder_UTF8_base16,impactedByAccentInsensitiveOrder,characterForAccentInsensitiveOrder_UTF8_base16,isUnicodeCharacterSet,UTF16_base10,UTF16_base16,uPlus4HexDigits,UTF8_base10,UTF8_base16,UTF8_base16_Byte1,UTF8_Byte1_in_CP1252_base16,UTF8_base16_Byte2,UTF8_Byte2_in_CP1252_base16,UTF8_base16_Byte3,UTF8_Byte3_in_CP1252_base16,UTF8_base16_Byte4,UTF8_Byte4_in_CP1252_base16,UTF8_base16_ByteCount,unicodeDecimalNumberBadConvert,UTF8_to_UTF16_base16_decomp,UTF8_to_CP1252_base16_decomp,UTF8_to_CP1252_base16_decomp_addsChar,similarCharacter_UTF8_base10,isAsciiCharacterSet,ASCII_base10,asciiIndexNotAssigned,ASCII_base8,ASCII_base16,ASCII_base2,isCP1252CharacterSet,CP1252_base10,cp1252IndexNotAssigned,CP1252_base16,CP1252_in_UTF8_base16,isISO_8859_1CharacterSet,ISO_8859_1_base10,ISO_8859_1_base16,isEBCDICCharacterSet,EBCDIC_base10,EBCDIC_base16,isHTMLCharacterSet,HTML_base10,HTML_base16,HTML_name,printLength,isMirrored,isLetter,isLowerCaseLetter,isLetterModifier,isNumber,isPunctuation,isSymbol,isMathSymbol,isPrintable,isControl,isEnglish,isChinese,isCurrency,isWhiteSpace,isAsciiHexInUnicodeUTF8Bytes,isCP1252HexInUnicodeUTF8Bytes,isCP1252HexInUnicodeUTF8Byte1,isCP1252HexInUnicodeUTF8Byte2,isCP1252HexInUnicodeUTF8Byte3,isCP1252HexInUnicodeUTF8Byte4,isUTF8_UTF16_equal,IsIndexMatchForCharacter,descLink,imgLink,keyboardKeys
œ,,LATIN Small LIGATURE OE,,,,0,,,,1,339,0x153,,,   ,,0,,0,,0,,0,3,,,,0,,0,,,,,,1,156,,0x9C,0,,,,,,,,,,,,,1,,,0,0,,,1,0,0,,,0,1,0,0,0,0,0,,,,https://www.fileformat.info/info/unicode/char/00153/index.htm,
╧,,BOX DRAWINGS UP SINGLE AND HORIZONTAL DOUBLE,,,,,,,,1,9575,,,,0xE2 0x95 0xA7 ,0xE2,1,0x95,0,0xA7,1,,0,6,,,0xE2;0xA7,1,,0,207,,,0xCF,,0,,,,0,,,,,,,,,,,,,0,,,0,0,,,1,0,0,,,0,0,0,0,0,0,0,,,,https://www.fileformat.info/info/unicode/char/2567/index.htm;https://www.codetable.net/decimal/9575,
ⁿ,,SUPERSCRIPT LATIN SMALL LETTER N,,,,,,,,1,8319,,,,0xE2 0x81 0xBF ,0xE2,1,0x81,0,0xBF,1,,0,6,,,0xE2;0xBF,1,,0,252,,,0xFC,,0,,,,0,,,,,,,,&#8319;,&#x207f;,,,,0,,,0,0,,,1,0,,,,0,0,0,0,0,0,0,,,,https://www.fileformat.info/info/unicode/char/207f/index.htm,
Ÿ,,LATIN CAPITAL LETTER Y WITH DIAERESIS,,,,1,,,,1,376,0x178,,,   ,,0,,0,,0,,0,3,,,,0,,0,,,,,,1,159,,0x9F,1,,,,,,,,,,,,,1,0,0,0,0,,0,1,0,0,0,0,0,1,1,0,0,1,0,,,,https://www.fileformat.info/info/unicode/char/00178/index.htm,
Ž,,LATIN CAPITAL LETTER Z WITH CARON,,,,1,,,,1,381,0x17D,,,   ,,0,,0,,0,,0,3,,,,0,,0,,,,,,1,142,,0x8E,0,,,,,,,,,,,,,1,,,0,0,,,1,0,,,,0,1,0,0,0,0,0,,,,https://www.fileformat.info/info/unicode/char/0017D/index.htm,
ž,,LATIN CAPITAL LETTER Z WITH CARON,,,,1,,,,1,382,0x17E,,,   ,,0,,0,,0,,0,3,,,,0,,0,,,,,,1,158,,0x9E,0,,,,,,,,,,,,,1,,,0,0,,,1,0,,,,0,1,0,0,0,0,0,,,,https://www.fileformat.info/info/unicode/char/0017E/index.htm,
ˆ,,MODIFIER LETTER CIRCUMFLEX ACCENT,,,,,,,,1,710,0x2C6,,,   ,,0,,0,,0,,0,3,,,,0,,0,,,,,,1,136,,0x88,1,,,,,,,,,,,,,0,,,0,,,,1,0,,,,0,1,1,0,0,1,0,,,,https://www.fileformat.info/info/unicode/char/002C6/index.htm,
˜,,SMALL TILDE,,,,,,,,1,732,0x2DC,,,   ,,0,,0,,0,,0,3,,,,0,,0,,,,,,1,152,,0x98,1,,,,,,,,,,,,,0,,,0,,,,1,0,,,,0,1,1,0,1,0,0,,,,https://www.fileformat.info/info/unicode/char/002DC/index.htm,
,,mongolian vowel separator,,,,,,,,1,6158,,U+180E,,   ,,0,,0,,0,,0,3,,,,0,,0,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,,,,https://www.fileformat.info/info/unicode/char/180e/index.htm,
,,zero width space,,,,,,,,1,8203,,U+200B,,   ,,0,,0,,0,,0,3,,,,0,,0,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,0,0,0,,,0,0,0,1,0,0,0,0,0,,,,https://www.fileformat.info/info/unicode/char/200b/browsertest.htm,
xxx,,zero width non-joiner,,,,,,,,1,8204,,U+200C,,   ,,0,,0,,0,,0,3,,,,0,,0,,,,,,0,,,,0,,,,,,,,,,,0,,,,,,,,,0,,,,,0,1,0,0,0,0,0,,,,https://www.fileformat.info/info/unicode/char/200c/browsertest.htm,
xxx,,zero width joiner,,,,,,,,1,8205,,U+200D,,   ,,0,,0,,0,,0,3,,,,0,,0,,,,,,0,,,,0,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,,,,0,0,1,0,0,0,0,0,,,,https://www.fileformat.info/info/unicode/char/200d/index.htm,
–,,EN DASH,,,,,,,,1,8211,0x2013,,,   ,,0,,0,,0,,0,3,,,,0,,0,,,,,,1,150,,0x96,1,,,,,,,,,,,,,0,,,0,1,,,1,0,,,,0,1,1,0,1,0,0,,,,https://www.fileformat.info/info/unicode/char/002013/index.htm,
—,,EM DASH,,,,,,,,1,8212,0x2014,,,   ,,0,,0,,0,,0,3,,,,0,,0,,,,,,1,151,,0x97,0,,,,,,,,,,,,,0,,,0,1,,,1,0,,,,0,1,0,0,0,0,0,,,,https://www.fileformat.info/info/unicode/char/002014/index.htm,
‘,,LEFT SINGLE QUOTATION MARK,,,,,,,,1,8216,0x2018,,,   ,,0,,0,,0,,0,3,,,,0,,0,,,,,,1,145,,0x91,1,,,,,,,,,,,,,0,,,0,1,,,1,0,,,,0,1,1,0,0,1,0,,,,https://www.fileformat.info/info/unicode/char/002018/index.htm,
’,,RIGHT SINGLE QUOTATION MARK,,,,,,,,1,8217,0x2019,,,   ,,0,,0,,0,,0,3,,,,0,,0,,,,,,1,146,,0x92,1,,,,,,,,,,,,,0,,,0,1,,,1,0,,,,0,1,1,0,0,1,0,,,,https://www.fileformat.info/info/unicode/char/002019/index.htm,
‚,,SINGLE LOW-9 QUOTATION MARK,,,,,,,,1,8218,0x201A,,,   ,,0,,0,,0,,0,3,,,,0,,0,,,,,,1,130,,0x82,1,,,,,,,,,,,,,0,,,0,1,,,1,0,,,,0,1,1,0,1,1,0,,,,https://www.fileformat.info/info/unicode/char/00201A/index.htm,
“,,LEFT DOUBLE QUOTATION MARK,,,,,,,,1,8220,0x201C,,,   ,,0,,0,,0,,0,3,,,,0,,0,,,,,,1,147,,0x93,1,,,,,,,,,,,,,0,,,0,1,,,1,0,,,,0,1,1,0,1,1,0,,,,https://www.fileformat.info/info/unicode/char/00201C/index.htm,
”,,RIGHT DOUBLE QUOTATION MARK,,,,,,,,1,8221,0x201D,,,   ,,0,,0,,0,,0,3,,,,0,,0,,,,,,1,148,,0x94,1,,,,,,,,,,,,,0,,,0,1,,,1,0,,,,0,1,1,0,1,0,0,,,,https://www.fileformat.info/info/unicode/char/00201D/index.htm,
„,,DOUBLE LOW-9 QUOTATION MARK,,,,,,,,1,8222,0x201E,,,   ,,0,,0,,0,,0,3,,,,0,,0,,,,,,1,132,,0x84,1,,,,,,,,,,,,,0,,,0,1,,,1,0,,,,0,1,1,0,0,1,0,,,,https://www.fileformat.info/info/unicode/char/00201E/index.htm,
†,,Dagger; obelisk; obelus,,,,,,,,1,8224,0x2020,,,   ,,0,,0,,0,,0,3,,,,0,,0,,,,,,1,134,,0x86,1,,,,,,,,,,,,,0,,,0,1,,,1,0,,,,0,1,1,0,0,1,0,,,https://en.wikipedia.org/wiki/Dagger_(typography);,https://www.fileformat.info/info/unicode/char/002020/index.htm,
‡,,DOUBLE DAGGER,,,,,,,,1,8225,0x2021,,,   ,,0,,0,,0,,0,3,,,,0,,0,,,,,,1,135,,0x87,1,,,,,,,,,,,,,0,,,0,1,,,1,0,,,,0,1,1,0,1,1,0,,,,https://www.fileformat.info/info/unicode/char/002021/index.htm,
•,,Bullet,,,,,,,,1,8226,0x2022,,,   ,,0,,0,,0,,0,3,,,,0,,0,,,,,,1,149,,0x95,1,,,,,,,,,,,,,0,,,0,1,,,1,0,,,,0,1,1,0,1,0,0,,,,https://www.fileformat.info/info/unicode/char/002022/index.htm,
…,,HORIZONTAL ELLIPSIS,,,,,,,,1,8230,0x2026,,,   ,,0,,0,,0,,0,3,,,,0,,0,,,,,,1,133,,0x85,1,,,,,,,,,,,,,0,,,0,1,,,1,0,,,,0,1,1,0,1,1,0,,,,https://www.fileformat.info/info/unicode/char/002026/index.htm,
‰,,PER MILLE SIGN,,,,,,,,1,8240,0x2030,,,   ,,0,,0,,0,,0,3,,,,0,,0,,,,,,1,137,,0x89,1,,,,,,,,,,,,,0,,,0,1,,,1,0,,,,0,1,1,0,1,1,0,,,https://en.wikipedia.org/wiki/Per_mille,https://www.fileformat.info/info/unicode/char/002030/index.htm,
‹,,SINGLE LEFT-POINTING ANGLE QUOTATION MARK; Guillemet,,,,,,,,1,8249,0x2039,,,   ,,0,,0,,0,,0,3,,,,0,,0,,,,,,1,139,,0x8B,0,,,,,,,,,,,,,0,,,0,1,,,1,0,,,,0,1,0,0,0,0,0,,,,https://www.fileformat.info/info/unicode/char/002039/index.htm,
›,,SINGLE RIGHT-POINTING ANGLE QUOTATION MARK; Guillemet,,,,,,,,1,8250,0x203A,,,   ,,0,,0,,0,,0,3,,,,0,,0,,,,,,1,155,,0x9B,1,,,,,,,,,,,,,0,,,0,1,,,1,0,,,,0,1,1,0,1,0,0,,,,https://www.fileformat.info/info/unicode/char/00203A/index.htm,
xxx,,Word Joiner,,,"Encoded in Unicode since version 3.2. The word-joiner does not produce any space, and prohibits a line break at its position.",,,,,1,8288,"	0x2060",U+2060,,0xE2 0x81 0xA0,0xE2,0,0x81,0,0xA0,0,,0,3,,,,0,,0,,,,,,0,,,,0,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,,,0,0,1,0,0,0,0,0,,,,https://www.fileformat.info/info/unicode/char/2060/index.htm,
₠,,EURO-CURRENCY SIGN,,,,,,,,1,8352,,,,   ,,0,,0,,0,,0,3,,,,0,,0,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,1,,,,,0,1,0,0,0,0,0,,,,,
€,,Euro Sign,,,,,,,,1,8364,0x20AC,,,0xE2 0x82 0xAC ,0xE2,1,0x82,0,0xAC,1,,0,6,,,0xE2;0xAC,1,,0,,,,,,1,128,,0x80,1,,,,,,,,,,,,,0,,,0,0,1,,1,0,0,,,0,1,1,1,1,1,0,,,,https://www.fileformat.info/info/unicode/char/20ac/index.htm,
™,,TRADE MARK SIGN,,,,,,,,1,8482,0x2122,,,   ,,0,,0,,0,,0,3,,,,0,,0,,,,,,1,153,,0x99,0,,,,,,,,,,,,,0,,,0,0,,,1,0,,,,0,1,0,0,0,0,0,,,,https://www.fileformat.info/info/unicode/char/002122/index.htm,
⌐,,REVERSED NOT SIGN,,,,,,,,1,8976,,,,   ,,0,,0,,0,,0,3,,,,0,,0,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,,,,1,0,,,,0,1,0,0,0,0,0,,,,https://www.fileformat.info/info/unicode/char//index.htm,
▀,,UPPER HALF BLOCK,,,,,,,,1,9600,,,,   ,,0,,0,,0,,0,3,,,,0,,0,,,,,,0,,,,0,,,,,,,,,,,,,0,,,0,,,,1,0,0,,,0,1,0,0,0,0,0,,,,https://www.fileformat.info/info/unicode/char//index.htm,Alt+2580; Alt+223
░,,Light Shade,,,25% Shade,,,,,1,9617,,,,0xE2 0x96 0x91 ,0xE2,1,0x96,0,0x91,0,,0,6,,,0xE2,0,,0,,,,,,0,,,,0,,,,,,,,&#9617;,&#x2591;,,,,0,,,0,,,,1,0,0,,,0,1,0,0,0,0,0,,,,https://www.fileformat.info/info/unicode/char/00E2/index.htm,Alt+2591; Alt+176
■,,Black Square,,,,,,,,1,9632,,,,0xE2 0x96 0xA0 ,0xE2,1,0x96,0,0xA0,1,,0,6,,,0xE2;0xA0,1,,0,,,,,,0,,,,0,,,,,,,,&#9632;,&#x25a0;,,,,0,,,0,,,,1,0,0,,,0,1,0,0,0,0,0,,,,https://www.fileformat.info/info/unicode/char/00E2/index.htm,Alt+25A0; Alt+254
﹣,,Small Hyphen; Small Minus Sign,,,,,,,,1,65123,,,,0xEF 0xB9 0xA3 ,0xEF,1,0xB9,1,0xA3,1,,0,3,,,0xEF;0xB9;0xA3,1,,0,,,,,,0,,,,0,,,,,,,,&#65123;,&#xFE63;,,,,0,,,0,1,,,1,,,,,0,1,0,0,0,0,0,,,,,
xxx,,zero width non-breaking space,,,,,,,,1,65279,,U+FEFF,,0xEF 0xBB 0xBF,"	0xEF",0,0xBB ,0,0xBF ,0,,0,3,,,,0,,0,,,,,,0,,,,0,,,,,,,1,&#65279;,&#xfeff;,,0,0,0,0,,0,0,,0,0,,,,0,0,1,0,0,0,0,0,,,,https://www.fileformat.info/info/unicode/char/feff/index.htm,
－,,Full width Hyphen; Full width Minus Sign,,,,,,,,1,65293,,,,0xEF 0xBC 0x8D ,0xEF,1,0xBC,1,0x8D,0,,0,3,,,0xEF;0xBC,1,,0,,,,,,0,,,,0,,,,,,,,&#65293;,&#xFF0D;,,,,0,,,0,1,,,1,,,,,0,1,0,0,0,0,0,,,,,
￠,,FULLWIDTH CENT SIGN,,,,,,,,1,65504,,,,   ,,0,,0,,0,,0,3,,,,0,,0,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,1,,,,,0,1,0,0,0,0,0,,,,,
,,,,,,,,,,0,65535,,U+FFFF,,,,0,,0,,0,,0,,,,,0,,,,,,,,1,,129,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,,,,,,https://www.fileformat.info/info/unicode/char/ffff/index.htm,
,,,,,,,,,,1,133282,208A2,U+208A2,,0xF0 0xA0 0xA2 0xA2,0xF0,0,0xA0,1,0xA2,1,0xA2,1,4,,,;0xA0;0xA2;0xA2,1,,0,,,,,,0,,,,0,,,,,,,,,,,,,0,,,0,0,,,0,1,0,1,,0,1,0,0,0,0,0,,,,http://www.fileformat.info/info/unicode/char/208a2/index.htm,
,,,,,,,,,,1,139554,22122,U+22122,,0xF0 0xA2 0x84 0xA2,0xF0,0,0xA2,1,0x84,0,0xA2,1,4,,,;0xA2;0xA2,1,,0,,,,,,0,,,,0,,,,,,,,,,,,,0,,,0,0,,,0,1,0,1,,0,1,0,0,0,0,0,,,,http://www.fileformat.info/info/unicode/char/22122/index.htm,
,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,0,,,,,,,,1,,141,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,0,,,,,,,,1,,143,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,0,,,,,,,,1,,144,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,0,,,,,,,,1,,157,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xxx,NL,,\025,,,,,,,,,,,,,,0,,0,,0,,0,,,,,0,,0,,,,,,0,,,,0,,,,1,21,15,,,,,,,,,,0,,,,0,1,,,,,0,0,0,0,0,0,,,,,
,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ⓘ,,Circled Latin Small Letter I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.compart.com/en/unicode/U+24D8,,
