character,characterSymbol,characterName,escapeSequence,controlEscapeSequence,characterUse,impactedByCaseInsensitiveOrder,characterForCaseInsensitiveOrder_UTF8_base16,impactedByAccentInsensitiveOrder,characterForAccentInsensitiveOrder_UTF8_base16,isUnicodeCharacterSet,UTF16_base10,UTF16_base16,uPlus4HexDigits,UTF8_base10,UTF8_base16,UTF8_base16_Byte1,UTF8_Byte1_in_CP1252_base16,UTF8_base16_Byte2,UTF8_Byte2_in_CP1252_base16,UTF8_base16_Byte3,UTF8_Byte3_in_CP1252_base16,UTF8_base16_Byte4,UTF8_Byte4_in_CP1252_base16,UTF8_base16_ByteCount,unicodeDecimalNumberBadConvert,UTF8_to_UTF16_base16_decomp,UTF8_to_CP1252_base16_decomp,UTF8_to_CP1252_base16_decomp_addsChar,similarCharacter_UTF8_base10,isAsciiCharacterSet,ASCII_base10,asciiIndexNotAssigned,ASCII_base8,ASCII_base16,ASCII_base2,isCP1252CharacterSet,CP1252_base10,cp1252IndexNotAssigned,CP1252_base16,CP1252_in_UTF8_base16,isISO_8859_1CharacterSet,ISO_8859_1_base10,ISO_8859_1_base16,isEBCDICCharacterSet,EBCDIC_base10,EBCDIC_base16,isHTMLCharacterSet,HTML_base10,HTML_base16,HTML_name,printLength,isMirrored,isLetter,isLowerCaseLetter,isLetterModifier,isNumber,isPunctuation,isSymbol,isMathSymbol,isPrintable,isControl,isEnglish,isChinese,isCurrency,isWhiteSpace,isAsciiHexInUnicodeUTF8Bytes,isCP1252HexInUnicodeUTF8Bytes,isCP1252HexInUnicodeUTF8Byte1,isCP1252HexInUnicodeUTF8Byte2,isCP1252HexInUnicodeUTF8Byte3,isCP1252HexInUnicodeUTF8Byte4,isUTF8_UTF16_equal,IsIndexMatchForCharacter,descLink,imgLink,keyboardKeys
¿,,INVERTED QUESTION MARK,,,,,,,,1,191,,,,0xc2 0xbf   ,0xc2 0xbf,0,,0,,0,,0,4,,,,0,,0,,,,0xA8,,1,191,,0xBF,1,,,,,,,,,,,,,0,,,0,1,,,1,0,,,,0,0,1,0,1,1,0,,,https://en.wikipedia.org/wiki/Inverted_question_and_exclamation_marks,https://www.fileformat.info/info/unicode/char/00c2 00bf/index.htm,
À,,LATIN CAPITAL LETTER A WITH GRAVE,,,,1,,,,1,192,0xC0,,,   ,,0,,0,,0,,0,3,,,,0,,0,,,,,,1,192,,0xC0,0,,,,,,,,,,,,,1,,,0,0,,,1,0,,,,0,1,0,0,0,0,0,,,,https://www.fileformat.info/info/unicode/char/00C0/index.htm,
Á,,LATIN CAPITAL LETTER A WITH ACUTE,,,,1,,,,1,193,0xC1,,,   ,,0,,0,,0,,0,3,,,,0,,0,,,,,,1,193,,0xC1,0,,,,,,,,,,,,,1,,,0,0,,,1,0,,,,0,1,0,0,0,0,0,,,,https://www.fileformat.info/info/unicode/char/00C1/index.htm,
û,,Latin Small letter u with circumflex accent; u-circumflex,,,,0,,,,1,251,00FB,,,0xC3 0x9B  ,0xC3,1,0x9B,0,,0,,0,5,,,0xC3,0,,0,,,,0x96,,1,251,,0xFB,0,,,,,,,,,,,,,1,,,0,0,,,1,0,,,,0,0,0,0,0,0,0,,,,https://www.fileformat.info/info/unicode/char/00C3/index.htm,
Ã,,LATIN CAPITAL LETTER A WITH TILDE,,,,1,,,,1,195,0xC3,,,   ,,0,,0,,0,,0,3,,,,0,,0,,,,,,1,195,,0xC3,1,,,,,,,,,,,,,1,,,0,0,,,1,0,,,,0,1,1,1,0,0,0,,,,https://www.fileformat.info/info/unicode/char/00C3/index.htm,
Š,,LATIN CAPITAL LETTER S WITH CARON,,,,1,,,,1,352,,,,0xC5 0xA0  ,0xC5,1,0xA0,1,,0,,0,5,,,0xC5;0xA0,1,,0,,,,,,1,138,,0x8A,1,,,,,,,,,,,,,1,,,0,0,,,1,0,,,,0,1,1,0,0,1,0,,,,https://www.fileformat.info/info/unicode/char/0160/index.htm,
È,,LATIN CAPITAL LETTER E WITH GRAVE,,,,1,,,,1,200,0xC8,,,   ,,0,,0,,0,,0,3,,,,0,,0,,,,,,1,200,,0xC8,0,,,,,,,,,,,,,1,,,0,0,,,1,0,,,,0,1,0,0,0,0,0,,,,https://www.fileformat.info/info/unicode/char/00C8/index.htm,
š,,LATIN SMALL LETTER S WITH CARON,,,,0,,,,1,353,,,,0xC5 0xA1  ,0xC5,1,0xA1,1,,0,,0,5,,,0xC5;0xA1,1,,0,,,,,,1,154,,0x9A,1,,,,,,,,,,,,,1,,,0,0,,,1,0,,,,0,1,1,0,1,0,0,,,,https://www.fileformat.info/info/unicode/char/0161/index.htm,
Ê,,latin Capital letter e with circumflex accent; e-circumflex,,,,1,,,,1,202,0xCA,,,   ,,0,,0,,0,,0,3,,,,0,,0,,,,,,1,202,,0xCA,0,,,,,,,,,,,,,1,,,0,0,,,1,0,0,,,0,1,0,0,0,0,0,,,,https://www.fileformat.info/info/unicode/char/00CA/index.htm,
Ë,,latin capital letter e with umlaut/diaeresis; e-umlauts,,,,1,,,,1,203,0xCB,,,   ,,0,,0,,0,,0,3,,,,0,,0,,,,,,1,203,,0xCB,0,,,,,,,,,,,,,1,,,0,0,,,1,0,0,,,0,1,0,0,0,0,0,,,,https://www.fileformat.info/info/unicode/char/00CB/index.htm,
Ì,,latin capital letter i with grave accent ,,,,1,,,,1,204,0xCC,,,   ,,0,,0,,0,,0,3,,,,0,,0,,,,,,1,204,,0xCC,0,,,,,,,,,,,,,1,,,0,0,,,1,0,0,,,0,1,0,0,0,0,0,,,,https://www.fileformat.info/info/unicode/char/00CC/index.htm,
Í,,LATIN Capital LETTER I WITH ACUTE,,,,1,,,,1,205,0xCD,,,   ,,0,,0,,0,,0,3,,,,0,,0,,,,,,1,205,,0xCD,0,,,,,,,,,,,,,1,,,0,0,,,1,0,0,,,0,1,0,0,0,0,0,,,,https://www.fileformat.info/info/unicode/char/00CD/index.htm,
Î,,latin captial letter i with circumflex accent; i-circumflex ,,,,,,,,1,206,0xCE,,,   ,,0,,0,,0,,0,3,,,,0,,0,,,,,,1,206,,0xCE,1,,,,,,,,,,,,,1,,,0,0,,,1,0,0,,,0,1,1,1,0,0,0,,,,https://www.fileformat.info/info/unicode/char/00CE/index.htm,
Ï,,latin capital letter i with umlaut or diaeresis ; i-umlaut,,,,1,,,,1,207,0xCF,,,   ,,0,,0,,0,,0,3,,,,0,,0,,,,,,1,207,,0xCF,0,,,,,,,,,,,,,1,,,0,0,,,1,0,0,,,0,1,0,0,0,0,0,,,,https://www.fileformat.info/info/unicode/char/00CF/index.htm,
Ð,,LATIN Capital LETTER ETH,,,,1,,,,1,208,0xD0,,,   ,,0,,0,,0,,0,3,,,,0,,0,,,,,,1,208,,0xD0,0,,,,,,,,,,,,,1,,,0,0,,,1,0,0,,,0,1,0,0,0,0,0,,,,https://www.fileformat.info/info/unicode/char/00D0/index.htm,
Ñ,,LATIN CAPITAL LETTER N WITH TILDE,,,,1,,,,1,209,,,,0xc3 0x91   ,0xc3 0x91,0,,0,,0,,0,4,,,,0,,0,,,,0xA5,,1,209,,0xD1,0,,,,,,,,,,,,,1,,,0,0,,,1,0,,,,0,0,0,0,0,0,0,,,,https://www.fileformat.info/info/unicode/char/00c3 0091/index.htm,
Ò,,LATIN CAPITAL LETTER O WITH GRAVE,,,,1,,,,1,210,0xD2,,,   ,,0,,0,,0,,0,3,,,,0,,0,,,,,,1,210,,0xD2,0,,,,,,,,,,,,,1,,,0,0,,,1,0,,,,0,1,0,0,0,0,0,,,,https://www.fileformat.info/info/unicode/char/00D2/index.htm,
Ó,,LATIN CAPITAL LETTER O WITH ACUTE,,,,1,,,,1,211,0xD3,,,   ,,0,,0,,0,,0,3,,,,0,,0,,,,,,1,211,,0xD3,0,,,,,,,,,,,,,1,,,0,0,,,1,0,,,,0,1,0,0,0,0,0,,,,https://www.fileformat.info/info/unicode/char/00D3/index.htm,
Ô,,LATIN CAPITAL LETTER O WITH CIRCUMFLEX,,,,1,,,,1,212,0xD4,,,   ,,0,,0,,0,,0,3,,,,0,,0,,,,,,1,212,,0xD4,0,,,,,,,,,,,,,1,,,0,0,,,1,0,,,,0,1,0,0,0,0,0,,,,https://www.fileformat.info/info/unicode/char/00D4/index.htm,
Õ,,LATIN CAPITAL LETTER O WITH TILDE,,,,1,,,,1,213,0xD5,,,   ,,0,,0,,0,,0,3,,,,0,,0,,,,,,1,213,,0xD5,0,,,,,,,,,,,,,1,,,0,0,,,1,0,,,,0,1,0,0,0,0,0,,,,https://www.fileformat.info/info/unicode/char/00D5/index.htm,
▒,,Medium Shade,,,,,,,,1,9618,,,,0xE2 0x96 0x92 ,0xE2,1,0x96,0,0x92,0,,0,6,,,0xE2,0,,0,177,,,0xB1,,0,,,,0,,,,,,,,,,,,,0,,,0,,,,1,0,0,,,0,0,0,0,0,0,0,,,,https://www.fileformat.info/info/unicode/char/2592/index.htm;https://www.codetable.net/decimal/9618,
Ù,,LATIN CAPITAL LETTER U WITH GRAVE,,,,1,,,,1,217,0xD9,,,   ,,0,,0,,0,,0,3,,,,0,,0,,,,,,1,217,,0xD9,0,,,,,,,,,,,,,1,,,0,0,,,1,0,,,,0,1,0,0,0,0,0,,,,https://www.fileformat.info/info/unicode/char/00D9/index.htm,
Ú,,Latin Capital Letter U with acute,,,,1,,,,1,218,0xDA,,,   ,,0,,0,,0,,0,3,,,,0,,0,,,,,,1,218,,0xDA,0,,,,,,,,,,,,,1,,,0,0,,,1,0,0,,,0,1,0,0,0,0,0,,,,https://www.fileformat.info/info/unicode/char/00DA/index.htm,
Û,,Latin Capital Letter U with Circumflex,,,,1,,,,1,219,0xDB,,,   ,,0,,0,,0,,0,3,,,,0,,0,,,,,,1,219,,0xDB,0,,,,,,,,,,,,,1,,,0,0,,,1,0,0,,,0,1,0,0,0,0,0,,,,https://www.fileformat.info/info/unicode/char/00DB/index.htm,
